time,data/763/norm1
127039,0.20767845
127089,0.20767845
127139,0.20767845
127189,0.20767845
127239,0.20764793
127289,0.20764793
127339,0.20764793
127389,0.20764793
127439,0.20764793
127489,0.20764793
127539,0.20764793
127589,0.20764793
127639,0.2075869
127689,0.2075869
127739,0.20755638
127789,0.20755638
127839,0.20755638
127889,0.2075869
127939,0.2075869
127989,0.2075869
128039,0.2075869
128089,0.20755638
128139,0.20755638
128189,0.20755638
128239,0.20755638
128289,0.20752586
128339,0.20752586
128389,0.20752586
128439,0.20752586
128489,0.20749535
128539,0.20749535
128589,0.20749535
128639,0.20749535
128689,0.20746483
128739,0.20746483
128789,0.20746483
128839,0.20746483
128889,0.20743431
128939,0.20743431
128989,0.20743431
129039,0.20743431
129089,0.20743431
129139,0.20743431
129189,0.20743431
129239,0.20743431
129289,0.2074038
129339,0.2074038
129389,0.2074038
129439,0.2074038
129489,0.20734276
129539,0.20734276
129589,0.20734276
129639,0.20734276
129689,0.20734276
129739,0.20734276
129789,0.20734276
129839,0.20734276
129889,0.20731224
129939,0.20731224
129989,0.20731224
130039,0.20731224
130089,0.20731224
130139,0.20728172
130189,0.20728172
130239,0.20728172
130289,0.20728172
130339,0.20728172
130389,0.20728172
130439,0.20728172
130489,0.20728172
130539,0.20725119
130589,0.20725119
130640,0.20725119
130689,0.20725119
130739,0.20722067
130789,0.20722067
130839,0.20722067
130889,0.20722067
130939,0.20715964
130989,0.20715964
131039,0.20715964
131089,0.20715964
131139,0.20715964
131189,0.20715964
131239,0.20715964
131289,0.20715964
131339,0.2070986
131389,0.2070986
131439,0.2070986
131489,0.2070986
131539,0.2070986
131589,0.2070986
131639,0.2070986
131689,0.2070986
131739,0.20706809
131789,0.20706809
131839,0.20706809
131889,0.20706809
131939,0.20703757
131989,0.20703757
132039,0.20703757
132089,0.20703757
132139,0.20703757
132189,0.20700705
132239,0.20700705
132289,0.20700705
132339,0.20700705
132389,0.20694602
132439,0.20694602
132489,0.20694602
132539,0.20694602
132589,0.20697653
132639,0.20697653
132689,0.20697653
132739,0.20697653
132789,0.20694602
132839,0.20694602
132889,0.20694602
132939,0.20694602
132989,0.20694602
133039,0.20694602
133089,0.20694602
133139,0.20694602
133189,0.20688498
133239,0.20688498
133289,0.20688498
133339,0.20688498
133389,0.20688498
133439,0.20688498
133489,0.20688498
133539,0.20688498
133589,0.20685446
133639,0.20685446
133689,0.20685446
133739,0.20685446
133789,0.20682395
133839,0.20682395
133889,0.20682395
133939,0.20682395
133989,0.20682395
134039,0.20682395
134089,0.20682395
134139,0.20682395
134189,0.2067629
134239,0.20679343
134289,0.20679343
134339,0.20679343
134389,0.20679343
134439,0.20679343
134489,0.20679343
134539,0.20679343
134589,0.20679343
134639,0.2067629
134689,0.2067629
134739,0.2067629
134789,0.2067629
134839,0.2067629
134889,0.2067629
134939,0.2067629
134989,0.2067629
135039,0.2067629
135089,0.2067629
135139,0.2067629
135189,0.2067629
135239,0.20673238
135290,0.20673238
135339,0.20673238
135389,0.20673238
135439,0.20670186
135489,0.20670186
135539,0.20670186
135589,0.20670186
135639,0.20670186
135689,0.20670186
135739,0.20670186
135789,0.20670186
135839,0.20667134
135889,0.20667134
135939,0.20667134
135989,0.20667134
136039,0.20667134
136089,0.20667134
136138,0.20667134
136188,0.20667134
136238,0.20667134
136288,0.20664082
136338,0.20664082
136388,0.2066103
136438,0.20657979
136488,0.2066103
136538,0.2066103
136588,0.2066103
136638,0.2066103
136688,0.20657979
136738,0.20657979
136788,0.20657979
136838,0.20657979
136888,0.20657979
136938,0.20657979
136988,0.20657979
137038,0.20657979
137088,0.20654927
137138,0.20654927
137188,0.20654927
137238,0.20654927
137288,0.20654927
137338,0.20654927
137388,0.20654927
137438,0.20654927
137488,0.20651875
137538,0.20651875
137589,0.20651875
137639,0.20651875
137689,0.20648824
137739,0.20648824
137789,0.20648824
137839,0.20648824
137889,0.20645772
137939,0.20648824
137989,0.20648824
138039,0.20648824
138089,0.20648824
138139,0.20648824
138189,0.20648824
138239,0.20648824
138289,0.2064272
138339,0.2064272
138389,0.2064272
138439,0.2064272
138489,0.2064272
138539,0.2064272
138589,0.2064272
138639,0.2064272
138689,0.2064272
138739,0.20639668
138789,0.20639668
138839,0.20639668
138889,0.20639668
138939,0.20639668
138989,0.20639668
139039,0.20639668
139089,0.20639668
139139,0.20633565
139189,0.20633565
139239,0.20633565
139289,0.20633565
139339,0.20633565
139389,0.20633565
139439,0.20633565
139489,0.20633565
139539,0.20630513
139589,0.20630513
139639,0.20630513
139689,0.20630513
139739,0.2062746
139789,0.2062746
